0	0
200	200
101	0	0	72	56	100
102	73	0	145	56	100
103	146	0	218	56	100
104	219	0	291	56	100
105	292	0	364	56	100
106	365	0	437	56	100
107	438	0	510	56	100
108	511	0	583	56	100
109	584	0	656	56	100
110	657	0	729	56	100
111	0	57	72	113	100
112	73	57	145	113	100
113	146	57	218	113	100
114	219	57	291	113	100
115	292	57	364	113	100
116	365	57	437	113	100
117	438	57	510	113	100
118	511	57	583	113	100
119	584	57	656	113	100
120	657	57	729	113	100
121	0	114	72	170	100
122	73	114	145	170	100
123	146	114	218	170	100
124	219	114	291	170	100
125	292	114	364	170	100
126	365	114	437	170	100
127	438	114	510	170	100
128	511	114	583	170	100
129	584	114	656	170	100
130	657	114	729	170	100
131	0	171	72	227	100
132	73	171	145	227	100
133	146	171	218	227	100
134	219	171	291	227	100
135	292	171	364	227	100
136	365	171	437	227	100
137	438	171	510	227	100
138	511	171	583	227	100
139	584	171	656	227	100
140	657	171	729	227	100
9401	729	0	747	18	100
9402	747	0	765	18	100
9500	765	0	830	30	100
