12	16	4	18	1	32	67
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	4
5	0	0	0	0	0	0	6	7	0	0	8	9	0	0	10
11	12	1	0	0	13	14	15	16	17	18	0	0	4	19	11
11	20	5	0	0	21	22	23	24	11	25	0	0	10	26	11
11	11	11	27	28	11	11	11	11	11	11	29	30	11	11	11
11	11	11	31	32	11	11	11	11	11	11	33	34	11	11	11
35	35	35	35	35	36	36	37	38	36	36	35	35	35	35	35
39	40	39	41	42	43	44	45	46	47	48	49	50	51	52	51
53	54	55	56	57	58	59	60	61	62	58	63	64	65	66	65
67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
