8001	0	108	160	176	1510
8002	160	108	320	176	1510
8003	320	108	480	176	1510
8004	1440	108	1600	176	1510
8011	480	108	640	176	1510
8012	640	108	800	176	1510
8013	800	108	960	176	1510
8014	1440	108	1600	176	1510
8021	960	108	1120	176	1510
8022	1120	108	1280	176	1510
8023	1280	108	1440	176	1510
8024	1440	108	1600	176	1510
8101	210	176	240	206	1510
8201	0	176	30	206	1510
8202	30	176	60	206	1510
8203	60	176	90	206	1510
8204	90	176	120	206	1510
8301	120	176	150	206	1510
8302	150	176	180	206	1510
8303	180	176	210	206	1510
-1001	91	302	121	332	1510
-1002	121	302	151	332	1510
-1003	151	302	181	332	1510
-1004	181	302	211	332	1510
9101	0	206	32	270	1510
9102	32	206	64	270	1510
9201	64	206	80	238	1510
9202	80	206	96	238	1510
123450	0	288	585	302	1510
123451	0	302	51	339	1510
123452	51	302	67	319	1510
123453	67	302	91	315	1510
123454	675	55	717	108	1510
123455	759	66	801	108	1510
51000	0	66	42	108	1510
52000	42	66	84	108	1510
53000	84	66	126	108	1510
54000	126	66	168	108	1510
55000	168	66	210	108	1510
56000	210	66	252	108	1510
57000	252	66	294	108	1510
58000	294	66	336	108	1510
60000	378	66	420	108	1510
62000	462	66	504	108	1510
63000	504	66	546	108	1510
64000	549	66	591	108	1510
66000	633	66	675	108	1510
72000	882	66	924	108	1510
73000	924	66	966	108	1510
74000	966	66	1008	108	1510
81001	0	270	31	286	1510
82001	31	270	62	286	1510
83001	62	270	93	286	1510
84001	93	270	124	286	1510
85001	124	270	155	286	1510
80001	155	270	186	288	1510
1001	0	0	60	66	1510
1011	0	0	60	66	1510
1012	60	0	120	66	1510
1013	120	0	180	66	1510
1014	180	0	240	66	1510
1021	240	0	300	66	1510
1031	240	0	300	66	1510
1041	300	0	360	66	1510
1042	360	0	420	66	1510
1043	420	0	480	66	1510
1044	0	0	60	66	1510
1051	900	0	960	66	1510
1052	960	0	1020	66	1510
1053	1020	0	1080	66	1510
1054	240	0	300	66	1510
1061	720	0	780	66	1510
1062	780	0	840	66	1510
1063	720	0	780	66	1510
1071	600	0	660	66	1510
1072	660	0	720	66	1510
1073	600	0	660	66	1510
1081	1260	0	1320	66	1510
1082	1320	0	1380	66	1510
1083	1380	0	1440	66	1510
1084	720	0	780	66	1510
1091	1080	0	1140	66	1510
1092	1140	0	1200	66	1510
1093	1200	0	1260	66	1510
1094	600	0	660	66	1510
1101	545	0	605	66	1510
-900001	1440	0	1500	66	1510
-910001	480	0	540	66	1510
8401	240	176	270	206	1510
8402	270	176	300	206	1510
8403	300	176	330	206	1510
8404	270	176	300	206	1510
8405	300	176	330	206	1510
-1100	241	302	255	318	1510
-1201	211	302	241	332	1510
6	100	206	132	238	1510
7	132	206	164	238	1510
8	100	238	132	270	1510
