12 48 5 18 1 32 78
0	1	0	1	2	3	4	5	0	1	2	3	6	7	0	1	2	3	8	9	10	11	12	13	0	1	14	15	2	3	12	13	0	1	14	15	2	3	12	13	0	1	16	17	6	7	18	19
20	21	20	21	22	23	24	25	20	21	22	23	26	27	20	21	22	23	28	29	30	31	32	33	20	21	34	35	22	23	32	33	20	21	34	35	22	23	32	33	20	21	8	36	26	27	37	19
0	1	4	5	22	23	0	1	0	1	22	23	38	38	0	1	22	23	39	40	4	5	0	1	2	3	14	15	22	23	12	13	2	3	14	15	22	23	12	13	2	3	8	9	38	38	18	19
20	21	24	25	22	23	20	21	20	21	22	23	38	38	20	21	22	23	41	42	24	25	20	21	22	23	34	35	22	23	32	33	22	23	34	35	22	23	32	33	22	23	28	29	38	38	37	19
43	44	45	45	45	45	46	47	48	49	22	23	38	38	0	1	22	23	50	51	0	1	0	1	22	23	0	1	22	23	0	1	22	23	0	1	22	23	6	7	22	23	50	51	38	38	52	53
54	54	54	54	54	54	54	55	56	57	22	23	38	38	20	21	22	23	58	59	20	21	20	21	22	23	20	21	22	23	20	21	22	23	20	21	22	23	26	27	22	23	58	59	38	38	52	60
8	9	0	1	2	3	10	11	55	61	45	45	43	44	45	45	45	45	46	47	48	49	0	1	22	23	0	1	22	23	0	1	22	23	0	1	22	23	4	5	22	23	62	63	64	65	52	66
28	29	20	21	22	23	30	31	54	54	54	54	54	54	54	54	54	54	54	55	56	57	20	21	22	23	20	21	22	23	20	21	22	23	20	21	22	23	24	25	22	23	67	64	68	54	54	54
50	51	0	1	22	23	0	1	6	7	22	23	4	5	22	23	4	5	10	11	55	56	48	49	22	23	0	1	22	23	0	1	22	23	0	1	22	23	0	1	22	23	69	68	70	71	18	19
58	59	20	21	22	23	20	21	26	27	22	23	24	25	22	23	24	25	30	31	72	55	56	57	22	23	20	21	22	23	20	21	22	23	20	21	22	23	20	21	22	23	54	78	73	74	37	19
43	44	43	44	75	76	43	44	43	44	75	76	43	44	75	76	43	44	43	44	43	44	55	61	75	76	43	44	75	76	43	44	75	76	43	44	75	76	43	44	75	76	43	44	43	44	77	19
54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54
