24 50 4 18 2 32 43
0	0	1	2	3	3	3	3	1	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0
0	0	5	1	3	3	3	3	5	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0
0	0	3	3	3	3	6	7	3	3	4	4	4	4	4	4	3	8	3	8	4	4	4	4	4	4	4	4	9	10	4	4	4	4	4	4	4	4	4	4	4	4	3	8	3	8	11	11	11	11
0	0	3	3	3	3	13	14	3	3	4	4	4	4	4	4	3	3	3	3	4	4	4	4	4	4	4	4	15	16	4	4	4	4	4	4	4	4	4	4	17	18	3	3	3	3	11	11	11	11
0	0	3	3	3	3	1	2	3	3	4	4	4	4	9	10	20	21	22	23	9	10	4	4	4	4	4	4	24	25	3	8	3	8	3	8	3	8	26	18	11	11	6	7	3	3	11	11	11	11
0	0	3	3	3	3	5	1	3	3	4	4	4	4	15	16	28	4	4	29	15	16	4	4	4	4	4	4	30	3	3	3	3	3	3	3	3	3	11	11	11	11	13	14	3	3	0	0	0	0
0	0	3	3	6	7	24	25	0	0	4	4	22	23	0	0	4	4	4	4	3	3	9	10	9	10	3	8	31	32	3	3	3	3	0	0	33	34	1	2	6	7	3	3	3	3	3	3	0	0
0	0	3	3	13	14	30	3	0	0	4	4	4	29	3	3	35	36	4	4	3	3	15	16	15	16	3	3	37	38	0	0	3	3	39	1	40	33	5	1	13	14	3	3	0	0	3	3	0	0
0	0	3	3	24	25	3	3	3	3	26	18	26	18	6	7	1	2	1	2	3	3	3	3	24	25	0	0	1	2	9	10	3	3	20	21	22	23	33	34	3	3	3	3	1	2	3	3	0	0
0	0	3	3	30	3	3	3	3	3	11	11	11	11	13	14	5	1	5	1	3	3	3	3	30	3	39	1	5	1	15	16	3	3	28	4	4	29	40	33	3	3	0	0	5	1	3	3	0	0
0	0	0	0	41	0	6	7	6	7	0	0	0	0	0	0	0	0	0	0	9	10	0	0	3	3	4	4	0	0	3	3	3	3	4	4	9	10	0	0	0	0	3	3	3	3	3	3	0	0
0	0	0	0	1	42	13	14	13	14	3	3	39	1	39	1	39	1	3	3	15	16	39	1	3	3	35	36	39	1	0	0	0	0	35	36	15	16	39	1	39	1	3	3	3	3	3	3	0	0
43	43	0	0	0	0	33	34	3	3	6	7	3	3	44	45	31	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	21	0	0
43	43	0	0	39	1	40	33	3	3	13	14	3	3	44	45	37	38	39	1	39	1	39	1	39	1	3	3	3	3	39	1	3	3	39	1	39	1	3	3	39	1	3	3	39	1	28	4	0	0
43	43	0	0	1	2	3	3	33	34	3	3	3	3	44	45	46	47	1	2	20	21	22	23	1	2	6	7	20	21	22	23	31	32	1	2	20	21	22	23	6	7	20	21	22	23	9	10	11	11
43	43	0	0	5	1	3	3	40	33	3	3	3	3	44	45	48	49	5	1	28	4	4	29	5	1	13	14	28	4	4	29	37	38	5	1	28	4	4	29	13	14	28	4	4	29	15	16	11	11
43	43	0	0	3	3	3	3	3	3	33	34	6	7	44	45	1	2	6	7	4	4	4	4	6	7	1	2	50	4	26	18	46	47	3	3	50	4	4	4	1	2	4	4	4	4	1	2	11	11
43	43	0	0	3	3	3	3	3	3	40	33	13	14	44	45	5	1	13	14	51	52	17	18	13	14	5	1	53	4	11	11	48	49	3	3	53	4	54	4	5	1	51	52	17	18	5	0	0	0
43	43	0	0	6	7	3	3	0	0	0	0	0	0	44	45	9	10	1	2	9	10	26	18	1	2	6	7	55	4	11	11	1	2	3	3	55	4	55	4	6	7	4	4	11	11	3	3	0	0
43	43	0	0	13	14	3	3	39	1	39	1	39	1	44	45	15	16	5	1	15	16	11	11	5	1	13	14	56	4	11	11	5	1	3	3	56	4	56	4	13	14	51	52	0	11	3	3	0	0
43	43	0	0	0	0	3	3	6	7	3	3	1	2	44	45	1	2	6	7	43	0	1	2	3	3	3	3	0	0	1	2	6	7	3	3	1	2	1	2	1	2	1	2	3	3	3	3	0	0
43	43	0	0	39	1	3	3	13	14	3	3	5	1	44	45	5	1	13	14	39	1	5	1	3	3	3	3	39	1	5	1	13	14	3	3	5	1	5	1	5	1	5	1	3	3	3	0	0	0
43	43	0	0	3	3	0	0	0	0	3	3	3	3	44	45	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0
43	43	0	0	3	3	39	1	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
