0	64	96

3	0	160	224	32	4
3	256	224	352	32	4
3	0	352	1536	32	4
3	1344	288	32	32	4
3	1440	224	96	32	4
3	1520	0	16	128	4
3	1520	256	16	96	4

3	1376	288	32	32	8	66000

90000	256	216	32	8	92200	-1
90000	192	96	32	4	92100	-1

90000	704	344	32	8	92200	-1
90000	576	160	32	4	92100	-1

90000	1344	280	32	8	92200	1
90000	1408	160	32	4	92100	1

9000	185	89	51000	9200
9000	57	227	52000	9200
9000	312	160	53000	9200
9000	440	100	60000	9200
9000	570	292	51000	9200
9000	692	230	60000	9200
9000	825	288	51000	9200
9000	952	288	51000	9200
9000	1077	220	52000	9200
9000	1206	288	53000	9200
9000	1332	225	51000	9200
9000	1463	231	52000	9200

40000	262	157	27000	0
40000	-2	287	27000	0
40000	594	287	27000	0
40000	590	157	27000	0
40000	270	284	27000	0
40000	1200	284	27000	-1

20000	1224	256	28000
-555












