24 32 2 18 2 32 27
0	1	2	3	4	5	6	7	1	1	4	5	2	3	1	1	6	7	1	1	2	3	6	7	1	1	1	1	2	3	0	0
0	1	8	9	10	11	6	7	1	1	10	11	8	9	1	1	6	7	1	1	8	9	6	7	1	1	1	1	8	9	0	0
27	13	4	5	1	1	6	7	14	13	2	3	1	1	1	1	6	7	2	3	1	1	6	7	14	13	2	3	1	1	0	0
27	16	10	11	1	1	6	7	17	18	8	9	1	1	1	1	6	7	8	9	1	1	6	7	17	18	8	9	1	1	0	0
27	20	1	1	2	3	6	7	17	18	1	1	21	22	21	22	6	7	4	5	1	1	6	7	17	18	21	22	1	1	0	0
0	0	1	1	8	9	0	0	0	0	1	1	0	0	0	0	0	0	10	11	1	1	27	0	0	0	0	0	1	1	0	0
0	1	1	1	17	18	6	7	0	0	1	1	1	1	0	0	0	1	21	22	14	13	0	0	4	5	14	13	1	1	0	0
0	1	1	1	0	0	6	7	0	0	1	1	1	1	0	0	0	1	0	0	17	18	0	0	10	11	17	18	23	0	0	0
0	1	2	3	4	5	6	7	0	0	1	1	2	3	0	0	0	1	1	1	17	18	0	0	1	1	24	25	6	7	0	0
0	1	8	9	10	11	6	7	0	0	1	1	8	9	0	0	0	1	1	1	0	0	0	0	1	1	25	1	6	7	0	0
0	1	14	13	1	1	6	7	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	24	25	1	1	6	7	0	0
0	1	17	18	1	1	6	7	0	0	1	1	1	1	0	0	26	1	1	1	1	1	1	1	25	1	1	1	6	7	0	0
27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	1	6	7	1	1	1	1	24	25	14	13	6	7	0	0	27	27
27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	1	6	7	1	1	1	1	25	1	17	18	6	7	0	0	27	27
27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	1	6	7	1	1	24	25	1	1	4	5	6	7	0	0	27	27
27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	1	6	7	1	1	25	1	1	1	10	11	6	7	0	0	27	27
27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	0	6	7	24	25	17	18	21	22	1	1	6	7	0	0	27	27
27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	0	0	0	0	0	0	0	0	0	1	1	6	7	27	0	27	27
27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	0	6	7	4	5	1	1	1	1	1	1	6	7	27	0	27	27
27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	0	6	7	10	11	1	1	1	1	23	0	0	0	0	0	27	27
27	27	27	27	27	27	27	27	27	27	27	27	27	27	12	13	6	7	1	1	1	1	24	25	1	1	14	13	0	0	27	27
27	27	27	27	27	27	27	27	27	27	27	27	27	27	15	16	6	7	1	1	1	1	25	1	1	1	17	18	0	0	27	27
27	27	27	27	27	27	27	27	27	27	27	27	27	27	19	20	6	7	17	18	24	25	21	22	21	22	17	18	0	0	27	27
27	27	27	27	27	27	27	27	27	27	27	27	27	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	27
