11 48 3 18 1 32	50
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	3	4	5
0	0	6	7	6	7	6	7	6	7	6	7	0	0	0	0	0	0	6	7	6	7	6	7	6	7	6	7	0	0	0	0	0	0	0	0	0	0	0	0	8	9	10	11	10	11	12	5
13	14	13	14	13	14	13	14	13	14	13	14	0	0	0	0	13	14	13	14	13	14	13	14	13	14	13	14	0	0	0	0	0	0	0	0	0	0	0	0	5	5	9	3	9	3	15	5
16	17	16	17	16	17	16	17	16	17	16	17	6	7	6	7	16	17	16	17	16	17	16	17	16	17	16	17	6	7	6	7	6	7	6	7	6	7	6	7	5	18	19	3	19	3	20	5
13	14	21	22	13	14	13	14	13	14	13	14	13	14	13	14	13	14	21	22	13	14	13	14	13	14	13	14	13	14	13	14	13	14	13	14	21	22	21	22	5	9	23	24	9	3	4	5
16	17	25	26	16	17	16	17	16	17	16	17	16	17	16	17	16	17	25	26	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	25	26	25	26	5	1	27	5	19	3	12	5
21	22	5	5	21	22	21	22	21	22	21	22	21	22	21	22	21	22	5	5	21	22	21	22	21	22	21	22	21	22	21	22	21	22	21	22	5	5	5	5	5	9	4	5	9	3	15	5
25	26	28	29	25	26	25	26	25	26	25	26	25	26	25	26	25	26	28	29	25	26	25	26	25	26	25	26	25	26	25	26	25	26	25	26	28	29	5	5	5	1	12	5	19	3	20	5
30	31	32	33	5	5	30	31	30	31	5	5	30	31	5	5	30	31	32	33	5	5	30	31	30	31	5	5	30	31	5	5	5	5	5	5	32	33	5	5	5	1	34	5	1	35	15	5
36	37	38	39	40	40	36	37	36	37	40	40	36	37	40	40	36	37	38	39	40	40	36	37	36	37	40	40	36	37	40	40	40	40	41	42	38	39	43	44	45	46	47	5	47	48	20	5
49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49
